               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.026721,            0.010239,           0.0014728,             0.99326,                   1,               0.995,             0.81976,            0.015535,             0.00389,          0.00080342,            0.005149,            0.005149,            0.005149
                 149,            0.024148,            0.010495,           0.0022373,             0.99365,                   1,               0.995,               0.832,            0.015167,           0.0038688,          0.00078414,            0.005116,            0.005116,            0.005116
                 150,            0.023914,           0.0096463,            0.001703,             0.99368,                   1,               0.995,             0.84214,            0.014506,           0.0038875,          0.00075565,            0.005083,            0.005083,            0.005083
                 151,            0.026406,            0.011742,           0.0015095,             0.99414,                   1,               0.995,             0.83287,            0.014164,           0.0038628,          0.00073977,             0.00505,             0.00505,             0.00505
                 152,            0.024501,            0.010821,           0.0013941,             0.99521,             0.99999,               0.995,             0.78722,            0.020637,           0.0040069,          0.00072581,            0.005017,            0.005017,            0.005017
                 153,            0.028266,           0.0098061,           0.0021648,             0.99575,                   1,               0.995,              0.8575,            0.014398,           0.0037567,          0.00073859,            0.004984,            0.004984,            0.004984
                 154,            0.024638,           0.0095412,           0.0013095,             0.99616,                   1,               0.995,             0.84054,            0.015416,           0.0037701,          0.00075201,            0.004951,            0.004951,            0.004951
                 155,            0.022552,           0.0097049,           0.0012021,             0.99617,             0.99943,               0.995,             0.82238,             0.01649,            0.003842,          0.00076593,            0.004918,            0.004918,            0.004918
                 156,            0.026329,            0.011819,           0.0015453,             0.99651,             0.99825,               0.995,              0.8284,            0.015435,           0.0037391,          0.00077788,            0.004885,            0.004885,            0.004885
                 157,            0.021117,           0.0091361,           0.0013449,             0.99702,             0.99893,               0.995,             0.82158,            0.016229,           0.0037534,          0.00080848,            0.004852,            0.004852,            0.004852
                 158,            0.024902,            0.010211,           0.0014114,             0.99554,             0.99889,               0.995,             0.83093,            0.015561,           0.0037669,          0.00082458,            0.004819,            0.004819,            0.004819
                 159,             0.02448,           0.0090341,           0.0024106,             0.99588,                   1,               0.995,             0.86525,            0.014011,           0.0036342,          0.00084896,            0.004786,            0.004786,            0.004786
